Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0
2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0
2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76
2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55
2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5
2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0
2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75
2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5
2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9
2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0
2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96
2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75
2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15
2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22
2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5
2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0
2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9
2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9
2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0
2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22
2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5
2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25
2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7
2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41
2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65
2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92
2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67
2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85
2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32
2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6
2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8
2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5
2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0
2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87
2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27
2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12
2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65
2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2
2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3
2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9
2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75
2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09
2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5
2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75
2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45
2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5
2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8
2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7
2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17
2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75
2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99
2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65
2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,1.85
2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95
2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.75
2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6
2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8
2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,61.29
2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,18.0
2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35
2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75
2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0
2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,10.0
2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1.65
2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,45.77
2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.25
2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8
2002,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,0.55
2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15
2013,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,7.0
2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75
2017,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,8.5
2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35
2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.26
2011,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.21
2018,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,70.36
2009,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,2.95
2012,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.28
2009,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3.57
2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.11
2014,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,5.96
2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.7
2014,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.9
2018,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25
2015,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,28.0
2009,60000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1.35
2015,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.85
2012,58006,Diesel,Manual,First,15.0,1896.0,105.0,5.0,6.7
2010,74000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.1
2015,77771,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,18.64
2012,45275,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8
2016,48000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.25
2015,31652,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,26.78
2010,109000,Diesel,Manual,Second,12.99,2494.0,100.6,7.0,8.26
2015,31978,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.89
2011,70000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.1
2017,15000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,12.69
2013,59138,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.58
2014,61726,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.77
2015,48000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,20.26
2014,77815,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.25
2017,29000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,57.0
2017,44000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,44.0
2011,108626,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.65
2012,71791,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.05
2012,91931,Petrol,Manual,First,18.5,1198.0,86.8,5.0,3.13
2000,158000,Diesel,Manual,Second,14.07,2956.0,83.1,7.0,1.5
2012,91183,Diesel,Manual,First,18.0,1248.0,75.0,5.0,2.85
2012,65000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.65
2015,88428,Diesel,Manual,First,16.0,2179.0,140.0,7.0,10.6
2008,138000,Diesel,Manual,Second,17.1,1396.0,70.0,5.0,1.25
2018,18000,Petrol,Manual,First,16.02,1373.0,93.7,7.0,8.25
2011,60000,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,4.45
2012,48000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.7
2009,160000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.8
2008,40000,Petrol,Manual,First,17.7,1497.0,78.0,5.0,1.8
2014,51495,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.95
2011,30000,Diesel,Automatic,First,9.52,2993.0,313.0,4.0,49.0
2017,97430,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,62.67
2008,42496,CNG,Manual,First,26.3,998.0,67.1,5.0,1.4
2012,83000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,5.5
2009,37000,Petrol,Automatic,Third,16.95,1197.0,78.9,5.0,2.95
2016,28503,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.86
2015,76496,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.15
2011,79152,Petrol,Manual,Second,18.5,1197.0,82.85,5.0,3.3
2011,32000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,2.55
2009,35000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.5
2004,105000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,2.5
2006,56000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.4
2012,73000,Diesel,Manual,First,21.12,1248.0,88.8,5.0,3.4
2012,38000,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.25
2013,775000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,7.5
2008,80000,Petrol,Automatic,First,11.3,1794.0,125.0,5.0,2.8
2016,24973,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.66
2016,45000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.15
2010,87430,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.5
2014,133944,Diesel,Manual,Second,18.0,1248.0,75.0,5.0,3.5
2013,57000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.45
2016,27904,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.55
2015,30717,Diesel,Automatic,Second,21.76,1995.0,190.0,5.0,25.99
2012,80000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25
2013,47304,Diesel,Manual,First,21.02,1248.0,88.8,5.0,2.9
2005,100000,Petrol,Automatic,First,14.45,1984.0,227.0,5.0,2.05
2017,30000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.75
2014,68000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.75
2011,21000,Petrol,Manual,Second,18.0,995.0,62.0,5.0,0.95
2017,21000,Diesel,Automatic,First,19.33,1999.0,177.0,5.0,52.0
2007,119000,Petrol,Manual,Third,13.1,1997.0,141.1,5.0,3.91
2019,13747,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,27.3
2009,620000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.7
2013,70000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.5
2016,18000,Petrol,Automatic,First,18.5,1197.0,83.14,5.0,6.2
2011,83000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.75
2015,130000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.25
2012,63400,Diesel,Manual,First,17.8,1399.0,67.0,5.0,3.25
2003,65000,Petrol,Manual,First,17.3,993.0,60.0,5.0,0.65
2017,8350,Petrol,Manual,First,13.8,1998.0,192.0,5.0,35.0
2014,45000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,3.25
2018,26200,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.9
2011,11000,Petrol,Manual,Third,18.9,796.0,47.0,5.0,2.9
2009,90000,Diesel,Automatic,Second,11.0,2993.0,235.0,5.0,17.75
2015,74000,Petrol,Automatic,Second,11.07,2496.0,179.5,5.0,8.25
2015,37081,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,5.77
2017,39000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.49
2008,99000,Diesel,Automatic,Third,12.07,2967.0,241.4,7.0,12.95
2015,38000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,20.0
